title,# pages,year of publication,author,publisher,year of birth,year of death,nationality,sex,language,
introduction to plasma physics,175,1975,b.m. smirnov,Mir Publishers Moscow,1938,/,RUSSIA,m,english,
universo e dintorni,351,1978,AA.VV.,garzanti,/,/,/,/,italiano,
apocalittici e integrati,389,1977,umberto eco,bompiani,1932,2016,ITALY,m,italiano,
il ramo d'oro,830,1890,frazer,newton compton,1854,1941,WALES,m,italiano,
il dottor Zivago,717,1957,b.l. pasternak,feltrinelli,1890,1960,RUSSIA,m,italiano,
kamasutra,335,2002,vatsyayana mallanaga,adelphi,/,/,INDIA,m,italiano,
il volo spaziale,187,1969,cesare cremona,Edizioni RAI,/,/,ITALY,m,italiano,
strade per la libertà,251,1971,bertrand russell,newton compton,1872,1950,USA,m,italiano,
giobbe,190,1930,joseph roth,corriere della sera,1894,1939,AUSTRIA,m,italiano,
ritratto dell'artista da giovane,221,1916,james joyce,newton compton,1882,1941,IRELAND,m,italiano,
romanzi e racconti,497,V.Y.,Aleksandr Sergeevic Puskin,garzanti,1799,1837,RUSSIA,m,italiano,
teoria del romanzo,190,1974,guorgy lukacs,newton compton,1885,1971,HUNGARY,m,italiano,
viaggio di un professore tedesco all'Eldorado,63,1905,ludwig boltzmann ,ibis ,1844,1906,AUSTRIA,m,italiano,
american gods,760,2001,neil gaiman,mondadori,1960,/,ENGLAND,m,italiano,
the cambridge quintet,181,1998,john l. casti,abacus,1943,/,USA,m,italiano,
gli annni futuri secondi le profezie di nostradamus,148,1976,renucio boscolo,meb,1945,/,ITALY,m,italiano,
new york metro per metro,176,2023,piero armenti,mondadori,1979,/,ITALY,m,italiano,
zanna bianca,265,1906,jack london,mondadori,1876,1916,USA,m,italiano,
fuga senza fine ,152,1964,joseph roth,adelphi,1894,1939,AUSTRIA,m,italiano,
liriche cinesi,250,V.Y.,VV.AA.,einaudi,/,/,/,m,italiano,
il contratto sociale,133,1762,jean jacques rousseau,mursia,1712,1778,SWITZERLAND,m,italiano,
cultura e antropologia,153,1983,pietro rossi,einaudi,1930,2023,ITALY,m,italiano,
arte paleolitica,255,1967,peter J. Ucko - Andrée rosenfeld,il saggiatore,1938 / 1934,2008 / 2008,ENGLAND / BELGIUM,m,italiano,
i manoscritti del mar morto,147,1958,edmund wilson,einaudi,1895,1972,USA,m,italiano,
l'alto medioevo,463,1968,jan dhondt,feltrinelli,1915,1972,BELGIUM,m,italiano,
montezuma,222,1972,c.a. burland,einaudi,1905,1983,ENGLAND,m,italiano,
logica,214,2007,francesco berto,editori laterza,1973,/,ITALY,m,italiano,
il rogo dei templari,295,1963,georges bordonove,sugar editore,1920,2007,FRANCE,m,italiano,
idilli di messina - la gaia scienza e scelta di frammenti postumi,436,V.Y.,friedrich nietzsche,mondadori,1844,1900,GERMANY,m,italiano,
il grande sonno,234,1939,raymond chandler,la biblioteca di repubblica,1888,1959,USA,m,italiano,
arcipelago gulag,607,1973,aleksandr solzenicyn,mondadori,1918,2008,RUSSIA ,m,italiano,
la battaglia di benevento,409,1827,francesco domenico guerrazzi,sonzogno,1804,1873,ITALY,m,italiano,
il navigatore del diluvio,156,1979,mario brelich,adelphi,1910,1982,ITALY,m,italiano,
la via dello Swat,105,1978,giuseppe tucci,newton compton,1894,1984,ITALY,m,italiano,
quel che resta del giorno,294,1989,kazuo ishiguro,einaudi,1954,/,JAPAN,m,italiano,
sabbia e onda,113,1979,kahlil gibran,guanda,1883,1931,LEBANON,m,italiano,
cuori solitari del cosmo,550,1991,dennis overbye,rizzoli,1944,/,USA,m,italiano,
sette storie gotiche,410,1934,karen blixen,bompiani,1885,1962,DENMARK,m,italiano,
scienza e filosofia,218,196,karl r. popper,einaudi,1902,1994,AUSTRIA-ENGLAND,m,italiano,
il medioevo,126,2006,jacques le goff,editori laterza,1924,2014,FRANCE,m,italiano,
ricordi dal sottosuolo,204,1864,fedor m. dostoevskij,longanesi,1821,1881,RUSSIA,m,italiano,
diario africano,88,2002,bill bryson,guanda,1951,/,USA,m,italiano,
storia della rivoluzione russa - 1 di 2,521,1950,lev trotsky,mondadori,1879,1940,RUSSIA,m,italiano,
storia della rivoluzione russa - 2 di 2,753,1950,lev trotsky,mondadori,1879,1940,RUSSIA,m,italiano,
la leggenda del figlio del re horkham,185,1984,saul israel,adelphi,1897,1981,ITALY,m,italiano,
doctor faustus,594,1947,thomas mann,mondadori,1875,1955,GERMANY,m,italiano,
quel fantastico giovedì,268,1954,john steinbeck,mondadori,1902,1968,USA,m,italiano,
i pascoli del cielo,222,1932,john steinbeck,mondadori,1902,1968,USA,m,italiano,
città scomparse,361,1955,hermann schreiber - georg schreiber,garzanti,1920 - 1922,2014 - 2012,GERMANY,m,italiano,
storia della letteratura americana,601,1954,marcus cunliffe,mondadori,1922,1990,ENGLAND,m,italiano,
l'impatto della scienza sulla società,139,1952,bertrand russell,newton compton,1872,1950,USA,m,italiano,
sociologia della religione - induismo e buddhismo,327,1916,max weber ,newton compton,1864,1920,GERMANY,m,italiano,
storia d'europa dalle invasioni al XVI secolo,441,1936,hernri pirenne,newton compton,1862,1935,BELGIUM,m,italiano,
the longest journey,327,1907,edward morgan forster,new directions,1879,1970,ENGLISH,m,english,
macbeth,190,1606,william shakespeare,Thomson Learning,/,1616,ENGLAND,m,english,
racconti d'inverno,265,1942,karen blixen,club edizioni,1885,1962,DENMARK,m,italiano,
